index,Date,Open,High,Low,Close,volume,oi
439,2017-11-29,25829.65,25877.75,25746.8,25795.7,0,0
440,2017-11-30,25693.8,25700.85,25246.85,25332.4,0,0
441,2017-12-01,25409.55,25441.35,25152.65,25191.95,0,0
442,2017-12-04,25295.05,25297.2,24993.35,25075.1,0,0
443,2017-12-05,25030.75,25217.7,24921.3,25124.85,0,0
444,2017-12-06,25066.3,25077.45,24813.6,24851.8,0,0
445,2017-12-07,24935.3,25097.4,24875.35,25057.25,0,0
446,2017-12-08,25145.5,25367.7,25145.5,25321.15,0,0
447,2017-12-11,25434.75,25448.85,25318.7,25404.85,0,0
448,2017-12-12,25413.4,25416.2,25108.6,25125.45,0,0
449,2017-12-13,25118.2,25270.75,24938.55,25000.35,0,0
450,2017-12-14,25062.4,25205.9,24888.65,25168.2,0,0
451,2017-12-15,25487.15,25559.05,25411.25,25440.3,0,0
452,2017-12-18,25181.75,25759.9,24617.15,25594.55,0,0
453,2017-12-19,25640.9,25757.95,25619.6,25716.2,0,0
454,2017-12-20,25779.05,25780.05,25566.05,25591.7,0,0
455,2017-12-21,25608.25,25629.95,25508.9,25554.3,0,0
456,2017-12-22,25615.6,25694.5,25560.5,25648.55,0,0
457,2017-12-26,25659.75,25712.95,25545.6,25675.25,0,0
458,2017-12-27,25652.85,25733.2,25429.55,25496.05,0,0
459,2017-12-28,25463.6,25561.95,25417.4,25490.0,0,0
460,2017-12-29,25484.85,25566.4,25450.25,25539.45,0,0
461,2018-01-01,25565.75,25588.0,25271.55,25318.1,0,0
462,2018-01-02,25382.2,25425.5,25232.8,25338.25,0,0
463,2018-01-03,25425.75,25454.9,25300.9,25318.6,0,0
464,2018-01-04,25367.65,25490.35,25310.3,25462.6,0,0
465,2018-01-05,25524.45,25643.35,25499.55,25601.85,0,0
466,2018-01-08,25690.25,25771.5,25643.8,25676.1,0,0
467,2018-01-09,25727.95,25803.8,25617.25,25703.8,0,0
468,2018-01-10,25709.9,25717.6,25527.5,25617.3,0,0
469,2018-01-11,25628.2,25694.65,25532.25,25660.9,0,0
470,2018-01-12,25732.4,25775.15,25557.6,25749.05,0,0
471,2018-01-15,25858.15,26091.8,25842.95,26069.2,0,0
472,2018-01-16,26129.15,26136.4,25931.7,25974.9,0,0
473,2018-01-17,25946.15,26335.85,25922.3,26289.1,0,0
474,2018-01-18,26762.25,26887.65,26423.75,26537.4,0,0
475,2018-01-19,26615.65,26957.85,26433.55,26909.5,0,0
476,2018-01-22,26940.5,27074.9,26841.2,27041.2,0,0
477,2018-01-23,27089.95,27422.05,27066.15,27390.6,0,0
478,2018-01-24,27310.15,27479.25,27219.45,27398.55,0,0
479,2018-01-25,27414.1,27522.85,27151.75,27445.65,0,0
480,2018-01-29,27446.1,27652.05,27407.4,27498.45,0,0
481,2018-01-30,27466.85,27470.25,27242.05,27269.05,0,0
482,2018-01-31,27136.25,27455.75,27116.95,27379.45,0,0
483,2018-02-01,27334.85,27613.5,27046.35,27220.7,0,0
484,2018-02-02,27017.4,27017.55,26364.05,26451.15,0,0
485,2018-02-05,25968.15,26215.1,25917.55,26098.75,0,0
486,2018-02-06,25140.1,26140.6,25023.85,25811.3,0,0
487,2018-02-07,26065.4,26078.4,25558.05,25670.0,0,0
488,2018-02-08,25759.85,26126.4,25637.4,25920.65,0,0
489,2018-02-09,25466.3,25598.3,25371.0,25463.65,0,0
490,2018-02-12,25530.1,25757.85,25485.4,25701.6,0,0
491,2018-02-14,25810.25,25810.25,25212.35,25341.25,0,0
492,2018-02-15,25360.9,25615.15,25295.15,25424.35,0,0
493,2018-02-16,25511.95,25601.0,25100.9,25163.9,0,0
494,2018-02-19,25324.6,25326.05,24824.55,25058.55,0,0
495,2018-02-20,25105.55,25158.1,24829.0,24874.4,0,0
496,2018-02-21,24996.6,24999.7,24796.35,24936.7,0,0
497,2018-02-22,24812.7,24987.05,24781.7,24955.2,0,0
498,2018-02-23,25002.25,25345.15,24962.85,25302.5,0,0
499,2018-02-26,25452.0,25722.15,25381.2,25687.9,0,0
500,2018-02-27,25684.6,25723.55,25356.4,25383.6,0,0
501,2018-02-28,25116.25,25192.95,24942.0,25107.4,0,0
502,2018-03-01,25022.35,25226.05,24854.4,24902.55,0,0
503,2018-03-05,24831.35,24873.05,24682.0,24818.7,0,0
504,2018-03-06,24964.1,25040.25,24362.05,24448.45,0,0
505,2018-03-07,24333.85,24373.4,24096.75,24134.1,0,0
506,2018-03-08,24273.9,24534.5,24048.55,24477.65,0,0
507,2018-03-09,24556.95,24564.75,24259.7,24296.45,0,0
508,2018-03-12,24443.6,24716.05,24358.5,24664.2,0,0
509,2018-03-13,24624.6,25009.65,24597.55,24738.65,0,0
510,2018-03-14,24629.65,24894.3,24487.0,24851.65,0,0
511,2018-03-15,24854.3,24939.85,24732.0,24791.85,0,0
512,2018-03-16,24753.65,24785.35,24439.15,24489.55,0,0
513,2018-03-19,24530.15,24588.05,24186.95,24245.1,0,0
514,2018-03-20,24133.95,24355.65,24082.95,24168.2,0,0
515,2018-03-21,24331.3,24459.75,24208.65,24255.6,0,0
516,2018-03-22,24252.95,24314.4,24094.85,24141.5,0,0
517,2018-03-23,23785.65,23796.3,23605.6,23670.4,0,0
518,2018-03-26,23674.9,24290.65,23657.05,24244.35,0,0
519,2018-03-27,24396.4,24496.95,24266.4,24434.15,0,0
520,2018-03-28,24299.5,24361.0,24203.4,24263.35,0,0
521,2018-04-02,24235.65,24373.4,24062.95,24328.5,0,0
522,2018-04-03,24285.95,24538.0,24254.35,24510.6,0,0
523,2018-04-04,24502.5,24666.3,24087.8,24129.5,0,0
524,2018-04-05,24394.45,24824.9,24380.85,24759.8,0,0
525,2018-04-06,24776.35,24933.6,24626.4,24873.15,0,0
526,2018-04-09,24848.85,25152.85,24828.0,25093.8,0,0
527,2018-04-10,25153.6,25279.9,25120.2,25226.8,0,0
528,2018-04-11,25198.35,25207.05,24950.3,25098.25,0,0
529,2018-04-12,25076.9,25244.8,24969.4,25195.1,0,0
530,2018-04-13,25239.65,25411.3,25076.85,25200.6,0,0
531,2018-04-16,25082.1,25348.55,25067.35,25320.85,0,0
532,2018-04-17,25383.75,25402.55,25224.0,25334.45,0,0
533,2018-04-18,25426.75,25426.75,25058.75,25102.3,0,0
534,2018-04-19,25206.45,25207.3,25049.7,25126.15,0,0
535,2018-04-20,25126.8,25126.8,24839.3,24943.85,0,0
536,2018-04-23,25065.5,25084.15,24466.1,24960.65,0,0
537,2018-04-24,24972.2,25123.45,24955.0,25042.1,0,0
