symbol,company,industry,score,momentum,positive,negative,band,rank,price
RBLBANK,RBL Bank Ltd.,Financial Services,33.05,7.3,47.9,50.4,Weak (0-40),172,345.75
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,43.51,9.92,46.3,52.1,Average (40-60),173,917.05
LTF,L&T Finance Ltd.,Financial Services,28.03,5.9,47.9,50.4,Weak (0-40),174,303.65
WAAREEENER,Waaree Energies Ltd.,Capital Goods,2.09,0.35,51.2,47.1,Weak (0-40),175,3226.6
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,34.31,7.45,47.1,51.2,Weak (0-40),176,2513.7
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,0.42,0.04,51.2,47.1,Weak (0-40),177,1250.2
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,15.06,2.93,49.6,48.8,Weak (0-40),178,940.3
BEL,Bharat Electronics Ltd.,Capital Goods,3.77,0.62,49.6,47.1,Weak (0-40),179,439.45
ALKEM,Alkem Laboratories Ltd.,Healthcare,15.48,3.05,49.6,49.6,Weak (0-40),180,5590.5
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,21.76,4.37,47.9,49.6,Weak (0-40),181,500.45
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,40.59,9.08,46.3,52.1,Average (40-60),182,503.75
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,11.72,2.09,49.6,48.8,Weak (0-40),183,1542.6
PHOENIXLTD,Phoenix Mills Ltd.,Realty,9.21,1.85,50.4,49.6,Weak (0-40),184,1829.5
BLUESTARCO,Blue Star Ltd.,Consumer Durables,2.51,0.38,50.4,47.9,Weak (0-40),185,1748.6
LT,Larsen & Toubro Ltd.,Construction,17.99,3.67,48.8,49.6,Weak (0-40),186,4023.0
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,29.71,6.32,47.1,51.2,Weak (0-40),187,7837.0
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,23.85,4.68,47.9,50.4,Weak (0-40),188,1815.9
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,48.54,11.72,43.8,54.5,Average (40-60),189,621.0
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,43.1,9.87,45.4,53.8,Average (40-60),190,1003.4
PIDILITIND,Pidilite Industries Ltd.,Chemicals,10.88,2.0,48.8,47.9,Weak (0-40),191,1450.4
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,49.37,12.1,43.0,55.4,Average (40-60),192,859.1
360ONE,360 ONE WAM Ltd.,Financial Services,41.0,9.13,45.4,53.8,Average (40-60),193,1111.7
GMRAIRPORT,GMR Airports Ltd.,Services,17.15,3.6,47.9,49.6,Weak (0-40),194,100.66
GICRE,General Insurance Corporation of India,Financial Services,28.45,6.19,47.1,51.2,Weak (0-40),195,399.35
INDIANB,Indian Bank,Financial Services,12.13,2.18,48.8,49.6,Weak (0-40),196,860.75
DMART,Avenue Supermarts Ltd.,Consumer Services,25.94,5.44,47.1,51.2,Weak (0-40),197,4386.5
CAMS,Computer Age Management Services Ltd.,Financial Services,41.84,9.29,43.8,53.7,Average (40-60),198,835.9
MANKIND,Mankind Pharma Ltd.,Healthcare,29.29,6.24,47.1,52.1,Weak (0-40),199,2375.2
IRB,IRB Infrastructure Developers Ltd.,Construction,33.89,7.45,44.6,51.2,Weak (0-40),200,21.67
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,1.26,0.25,49.6,48.8,Weak (0-40),201,167.26
INDUSTOWER,Indus Towers Ltd.,Telecommunication,7.11,1.23,48.8,49.6,Weak (0-40),202,402.9
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,38.91,8.82,43.8,54.5,Weak (0-40),203,3093.8
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,7.95,1.26,48.8,49.6,Weak (0-40),204,3706.7
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,26.36,5.57,46.3,52.1,Weak (0-40),205,884.05
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,31.8,7.0,44.6,52.9,Weak (0-40),206,562.65
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,3.35,0.61,48.8,49.6,Weak (0-40),207,2481.3
BDL,Bharat Dynamics Ltd.,Capital Goods,1.67,0.33,48.8,49.6,Weak (0-40),208,1466.9
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,22.18,4.44,46.3,51.2,Weak (0-40),209,1814.7
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,19.67,3.9,47.1,51.2,Weak (0-40),210,706.85
WOCKPHARMA,Wockhardt Ltd.,Healthcare,19.25,3.88,47.1,51.2,Weak (0-40),211,1637.5
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,28.87,6.21,44.6,53.7,Weak (0-40),212,19.39
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,25.52,5.16,45.5,52.9,Weak (0-40),213,1076.2
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,22.59,4.45,47.0,53.0,Weak (0-40),214,1474.5
CONCOR,Container Corporation of India Ltd.,Services,8.37,1.29,47.1,49.6,Weak (0-40),215,526.7
KPIL,Kalpataru Projects International Ltd.,Construction,13.81,2.65,47.0,51.3,Weak (0-40),216,1297.9
TATACAP,Tata Capital Ltd.,Financial Services,32.22,7.0,40.5,57.9,Weak (0-40),217,325.8
NHPC,NHPC Ltd.,Power,5.86,0.98,47.1,49.6,Weak (0-40),218,81.58
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,24.27,4.83,43.8,54.5,Weak (0-40),219,4636.9
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,24.69,4.85,43.0,54.5,Weak (0-40),220,348.25
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,17.57,3.61,45.5,52.9,Weak (0-40),221,844.3
IGIL,International Gemological Institute Ltd.,Services,7.53,1.24,47.8,52.2,Weak (0-40),222,364.15
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,9.62,1.85,46.3,52.1,Weak (0-40),223,2340.4
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,11.3,2.02,46.2,52.1,Weak (0-40),224,80.04
