Date,Open,High,Low,Close,Volume
2018-09-26,563.15,569.95,557.8,568.8,14073022
2018-09-27,570.45,574.1,562.5,569.85,23779248
2018-09-28,572.65,578.05,566.95,571.8,24360650
2018-10-01,571.65,571.65,547.3,559.85,16131924
2018-10-03,558.9,563.45,545.45,547.8,16228466
2018-10-04,540.65,541.1,502.7,510.15,51067374
2018-10-05,499.8,506.95,471.9,476.75,48275018
2018-10-08,477.3,507.7,466.15,504.25,54294742
2018-10-09,509.85,510.6,491.45,495.5,24180632
2018-10-10,497.2,507.2,492.85,500.95,20904788
2018-10-11,483.6,506.7,474.1,494.45,29093178
2018-10-12,502.25,513.15,500.9,512.1,19928780
2018-10-15,513.6,521.3,508.25,518.1,19517908
2018-10-16,520.9,530.65,518.15,529.0,16452922
2018-10-17,535.9,536.1,518.15,523.35,28128422
2018-10-19,500.0,505.0,486.45,500.6,55926704
2018-10-22,504.55,506.75,480.65,483.0,28964192
2018-10-23,478.55,483.95,474.4,479.4,23262206
2018-10-24,488.6,489.1,468.8,475.35,30041742
2018-10-25,470.9,473.0,462.0,468.55,31011722
2018-10-26,469.5,480.45,464.55,474.95,20201748
2018-10-29,475.45,497.2,475.45,494.45,16877976
2018-10-30,493.4,493.4,478.25,480.45,19374742
2018-10-31,481.4,484.5,475.9,482.35,36206920
2018-11-01,485.4,485.4,477.3,480.15,20671260
2018-11-02,485.0,491.4,483.25,488.6,36951640
2018-11-05,487.9,496.65,484.1,495.6,16681540
2018-11-06,497.3,505.45,496.2,501.9,18995386
2018-11-07,506.85,506.85,503.05,504.85,2824794
2018-11-09,502.85,506.25,493.15,497.0,23849016
2018-11-12,498.95,499.45,488.4,490.9,12763784
2018-11-13,488.15,501.4,486.4,499.75,14985516
2018-11-14,502.3,505.75,493.4,499.1,17132566
2018-11-15,498.6,501.4,493.9,498.6,15029828
2018-11-16,499.1,513.6,498.7,512.45,24270156
2018-11-19,514.95,523.5,514.1,522.7,16079758
2018-11-20,520.45,525.4,513.6,517.0,12583782
2018-11-21,517.05,520.65,503.2,505.9,16517186
2018-11-22,506.6,511.55,500.05,501.3,12743650
2018-11-26,504.1,507.95,498.8,504.4,14050424
2018-11-27,503.6,513.6,502.5,512.85,14982502
2018-11-28,514.75,526.25,511.95,523.9,17608720
2018-11-29,527.7,536.3,527.3,531.1,27799572
2018-11-30,532.85,539.1,528.35,530.7,23578386
2018-12-03,534.05,534.05,522.05,525.65,12253072
2018-12-04,526.4,526.4,519.15,523.8,11424216
2018-12-05,519.85,526.7,517.85,525.05,12803160
2018-12-06,522.3,522.3,508.3,510.75,12905438
2018-12-07,513.4,516.8,503.8,515.35,15870972
2018-12-10,504.55,506.5,492.35,495.6,20639396
2018-12-11,484.55,500.95,479.55,498.9,29688264
2018-12-12,499.55,506.1,494.4,504.8,27731948
2018-12-13,512.7,512.7,497.75,503.2,20454540
2018-12-14,501.4,506.75,496.25,505.55,15886912
2018-12-17,507.25,515.0,505.2,513.6,11141586
2018-12-18,510.6,517.7,509.35,516.55,12916042
2018-12-19,518.9,521.5,515.1,516.7,16211358
2018-12-20,509.55,514.8,507.35,512.9,12682408
2018-12-21,511.4,514.2,498.15,500.1,18220270
2018-12-24,500.4,501.45,493.9,495.05,9117978
2018-12-26,493.55,500.0,484.4,499.25,15862130
2018-12-27,503.25,512.3,501.85,509.15,27451600
2018-12-28,511.6,516.05,509.65,511.6,16865236
2018-12-31,514.1,515.35,507.35,509.65,15890198
2019-01-01,511.45,512.4,504.6,509.55,9802870
2019-01-02,506.6,512.3,500.45,502.9,15718934
2019-01-03,503.4,506.6,495.5,496.7,16382206
2019-01-04,498.8,502.0,491.4,499.4,18623310
2019-01-07,503.15,508.4,500.45,502.15,12129830
2019-01-08,502.35,504.5,498.15,502.15,12375336
2019-01-09,505.45,507.7,499.4,504.85,12686972
2019-01-10,503.55,505.0,501.4,503.4,8976622
2019-01-11,503.45,506.25,494.85,499.1,14220586
2019-01-14,497.7,500.2,493.8,498.55,9045920
2019-01-15,502.3,514.55,502.3,513.45,22138326
2019-01-16,515.9,520.45,513.8,516.3,14042110
